iter	Passed	Remaining
0	602	93337
1	2369	182483
2	4123	210323
3	6113	232326
4	7889	238274
5	9411	235295
6	10928	232614
7	12418	229734
8	13793	225287
9	15118	220732
10	16490	217374
11	17776	213317
12	19011	209124
13	19066	193384
14	20294	190764
15	21557	188630
16	22810	186508
17	24067	184518
18	25330	182644
19	26598	180871
20	27854	179067
21	29103	177265
22	30327	175370
23	31595	173774
24	32821	171985
25	34043	170215
26	35260	168465
27	36582	167232
28	37883	165903
29	39091	164182
30	40281	162425
31	41577	161111
32	42804	159543
33	44052	158069
34	45442	157099
35	46706	155687
36	47920	154123
37	49135	152578
38	50391	151173
39	51659	149811
40	52913	148417
41	54196	147104
42	55477	145790
43	56673	144260
44	58006	143082
45	59225	141627
46	60423	140130
47	61621	138647
48	62847	137237
49	64063	135815
50	65225	134288
51	66415	132830
52	67597	131367
53	68920	130183
54	70280	129060
55	71491	127663
56	72697	126264
57	73869	124813
58	75066	123414
59	76276	122043
60	77427	120583
61	78595	119160
62	79722	117685
63	80905	116301
64	82214	115100
65	83430	113768
66	84590	112366
67	85829	111072
68	87035	109740
69	88266	108441
70	89475	107118
71	90646	105754
72	91993	104595
73	93219	103297
74	94387	101938
75	95640	100674
76	96881	99398
77	98107	98107
78	99336	96821
79	100657	95624
80	102026	94468
81	103293	93216
82	104488	91899
83	105693	90594
84	106939	89326
85	108158	88035
86	109366	86738
87	110600	85463
88	111818	84178
89	113047	82901
90	114339	81671
91	115583	80406
92	116852	79158
93	118100	77895
94	119280	76590
95	120436	75272
96	121621	73975
97	122805	72680
98	124046	71420
99	125230	70128
100	126424	68845
101	127763	67639
102	129168	66465
103	130743	65371
104	132618	64414
105	134346	63370
106	135965	62264
107	137247	60999
108	138569	59750
109	139857	58485
110	141212	57248
111	142570	56009
112	143916	54764
113	145231	53506
114	146506	52232
115	147798	50965
116	149093	49697
117	150389	48430
118	152342	47366
119	154162	46248
120	155680	45031
121	157246	43822
122	158537	42534
123	159765	41229
124	161024	39934
125	162866	38777
126	164573	37579
127	166230	36362
128	167740	35108
129	169282	33856
130	170606	32558
131	171954	31264
132	173275	29964
133	174617	28668
134	175951	27370
135	177264	26068
136	178576	24766
137	179979	23475
138	181311	22174
139	182745	20885
140	184276	19603
141	185665	18305
142	187113	17010
143	188475	15706
144	190140	14424
145	191421	13111
146	192707	11798
147	193972	10484
148	195234	9172
149	196760	7870
150	198462	6571
151	200054	5264
152	201569	3952
153	203198	2638
154	204755	1321
155	206443	0
